tape_file_index,binary_id,dsn,description,raw_size_bytes,output_size_bytes,filename
0,24296-60001,000200,DIAGNOSTIC CONFIGURATOR,8486,8571,24296-60001_DSN000200_DIAGNOSTIC_CONFIGURATOR.abin
1,24315-16001,101100,MEMORY REFERENCE INSTRUCTION GROUP,7078,7163,24315-16001_DSN101100_MEMORY_REFERENCE_INSTRUCTION_GROUP.abin
2,24316-16001,101001,ALTER SKIP INSTRUCTION GROUP,836,921,24316-16001_DSN101001_ALTER_SKIP_INSTRUCTION_GROUP.abin
3,24317-16001,101002,SHIFT ROTATE INSTRUCTION GROUP,3170,3255,24317-16001_DSN101002_SHIFT_ROTATE_INSTRUCTION_GROUP.abin
4,24323-16001,102200,CORE MEMORY (2100/16/15/14),3202,3287,24323-16001_DSN102200_CORE_MEMORY_2100_16_15_14.abin
5,24395-16001,102104,SEMICONDUCTOR MEMORY (21MX),4684,4769,24395-16001_DSN102104_SEMICONDUCTOR_MEMORY_21MX.abin
6,24319-16001,101004,EAU INSTRUCTION GROUP,2408,2493,24319-16001_DSN101004_EAU_INSTRUCTION_GROUP.abin
7,24320-16001,101207,FLOATING POINT INSTRUCTION GROUP,2612,2697,24320-16001_DSN101207_FLOATING_POINT_INSTRUCTION_GROUP.abin
8,12892-16001,102305,MEM PROT/PARITY ERROR (2100/21MX),5076,5161,12892-16001_DSN102305_MEM_PROT_PARITY_ERROR_2100_21MX.abin
9,24321-16001,101206,POWER FAIL AUTO RESTART,1448,1533,24321-16001_DSN101206_POWER_FAIL_AUTO_RESTART.abin
10,24318-16001,141103,I/O INSTR-GROUP I/O CHANNEL EXTENDER,8198,8283,24318-16001_DSN141103_I_O_INSTR_GROUP_I_O_CHANNEL_EXTENDER.abin
11,24391-16001,143300,GENERAL PURPOSE REGISTER,5844,5929,24391-16001_DSN143300_GENERAL_PURPOSE_REGISTER.abin
12,24322-16002,101220,DIRECT MEMORY ACCESS (2100/21MX),5152,5237,24322-16002_DSN101220_DIRECT_MEMORY_ACCESS_2100_21MX.abin
13,12943-16002,101011,EXT. INSTR. GROUP (INDEX),5386,5471,12943-16002_DSN101011_EXT_INSTR_GROUP_INDEX.abin
14,12943-16001,101112,"EXT. INSTR. GROUP (WORD,BYTE,BIT)",4198,4283,12943-16001_DSN101112_EXT_INSTR_GROUP_WORDBYTEBIT.abin
15,12907-16003,101110,2100 FAST FORTRAN PACKAGE,6706,6791,12907-16003_DSN101110_2100_FAST_FORTRAN_PACKAGE.abin
